,note01,note02,note03,note04,note05,note06,note07,note08,note09,note10
268,39,51,77,0,0,0,0,0,0,0
269,71,80,0,0,0,0,0,0,0,0
270,44,56,72,75,80,0,0,0,0,0
271,51,56,60,72,75,80,0,0,0,0
272,50,59,71,74,79,0,0,0,0,0
273,49,58,70,73,78,0,0,0,0,0
274,53,57,60,63,81,0,0,0,0,0
275,53,57,60,63,79,0,0,0,0,0
276,53,58,61,73,82,0,0,0,0,0
277,73,82,0,0,0,0,0,0,0,0
278,53,58,61,75,84,0,0,0,0,0
279,77,85,0,0,0,0,0,0,0,0
280,53,58,61,77,85,0,0,0,0,0
281,53,56,58,62,72,80,0,0,0,0
282,53,56,58,62,77,0,0,0,0,0
283,51,55,58,61,67,73,79,0,0,0
284,44,56,68,72,75,80,0,0,0,0
285,41,53,0,0,0,0,0,0,0,0
286,44,53,76,0,0,0,0,0,0,0
287,46,55,67,77,0,0,0,0,0,0
288,51,55,58,61,76,0,0,0,0,0
289,68,80,0,0,0,0,0,0,0,0
290,44,51,68,80,0,0,0,0,0,0
291,44,52,68,77,0,0,0,0,0,0
292,68,77,0,0,0,0,0,0,0,0
293,50,56,59,0,0,0,0,0,0,0
294,63,75,0,0,0,0,0,0,0,0
295,50,53,56,0,0,0,0,0,0,0
296,59,62,0,0,0,0,0,0,0,0
297,71,74,0,0,0,0,0,0,0,0
298,50,53,56,59,71,80,0,0,0,0
299,50,53,56,59,71,79,0,0,0,0
300,71,74,77,0,0,0,0,0,0,0
301,50,53,56,59,0,0,0,0,0,0
302,39,51,68,72,75,80,0,0,0,0
303,54,56,60,0,0,0,0,0,0,0
304,42,54,66,72,77,0,0,0,0,0
305,54,56,60,66,72,75,0,0,0,0
306,68,72,75,80,0,0,0,0,0,0
307,41,53,68,72,75,80,0,0,0,0
308,39,51,66,72,77,0,0,0,0,0
309,37,49,0,0,0,0,0,0,0,0
310,49,53,56,77,85,0,0,0,0,0
311,32,82,0,0,0,0,0,0,0,0
312,49,53,56,0,0,0,0,0,0,0
313,44,53,77,85,0,0,0,0,0,0
314,53,56,0,0,0,0,0,0,0,0
315,43,52,75,84,0,0,0,0,0,0
316,85,0,0,0,0,0,0,0,0,0
317,55,58,75,82,0,0,0,0,0,0
318,42,51,0,0,0,0,0,0,0,0
319,66,72,75,80,0,0,0,0,0,0
320,66,72,80,0,0,0,0,0,0,0
321,32,77,0,0,0,0,0,0,0,0
322,54,56,60,66,72,75,77,0,0,0
323,42,54,66,72,75,80,0,0,0,0
324,42,54,66,0,0,0,0,0,0,0
325,41,53,72,75,0,0,0,0,0,0
326,39,51,66,72,75,80,0,0,0,0
327,44,56,68,72,78,0,0,0,0,0
328,49,61,0,0,0,0,0,0,0,0
329,49,61,68,80,0,0,0,0,0,0
330,48,60,77,0,0,0,0,0,0,0
331,46,58,68,80,0,0,0,0,0,0
332,44,56,77,0,0,0,0,0,0,0
333,49,61,68,73,80,0,0,0,0,0
334,47,59,69,72,77,81,0,0,0,0
335,46,58,0,0,0,0,0,0,0,0
336,68,74,77,82,0,0,0,0,0,0
337,56,58,62,0,0,0,0,0,0,0
338,68,74,82,0,0,0,0,0,0,0
339,56,58,62,68,0,0,0,0,0,0
340,68,74,77,80,0,0,0,0,0,0
341,42,54,68,74,77,80,0,0,0,0
342,68,74,80,0,0,0,0,0,0,0
343,41,53,68,78,0,0,0,0,0,0
344,56,58,62,68,77,0,0,0,0,0
345,39,51,70,78,0,0,0,0,0,0
346,66,70,75,0,0,0,0,0,0,0
347,54,58,0,0,0,0,0,0,0,0
348,78,0,0,0,0,0,0,0,0,0
349,41,68,77,0,0,0,0,0,0,0
350,68,74,0,0,0,0,0,0,0,0
351,53,56,58,62,75,0,0,0,0,0
352,42,54,70,75,78,0,0,0,0,0
353,41,53,74,80,0,0,0,0,0,0
354,42,54,70,75,82,0,0,0,0,0
355,41,53,68,74,80,0,0,0,0,0
356,42,54,0,0,0,0,0,0,0,0
357,73,78,82,85,0,0,0,0,0,0
358,41,53,72,78,82,84,0,0,0,0
359,73,85,0,0,0,0,0,0,0,0
360,42,54,75,87,0,0,0,0,0,0
361,43,55,72,84,0,0,0,0,0,0
362,70,82,0,0,0,0,0,0,0,0
363,68,73,80,0,0,0,0,0,0,0
364,56,61,65,67,73,79,0,0,0,0
365,68,73,0,0,0,0,0,0,0,0
366,46,58,74,82,0,0,0,0,0,0
367,58,62,65,74,0,0,0,0,0,0
368,46,55,65,70,73,77,0,0,0,0
369,65,70,73,77,0,0,0,0,0,0
370,55,58,0,0,0,0,0,0,0,0
371,67,70,73,0,0,0,0,0,0,0
372,45,55,73,0,0,0,0,0,0,0
373,44,54,67,72,75,0,0,0,0,0
374,44,53,65,68,73,0,0,0,0,0
375,68,70,73,82,0,0,0,0,0,0
376,44,53,68,73,77,82,0,0,0,0
377,38,50,68,74,77,82,0,0,0,0
378,39,46,51,72,75,78,82,0,0,0
379,32,44,78,0,0,0,0,0,0,0
380,72,75,80,0,0,0,0,0,0,0
381,39,51,72,75,78,82,0,0,0,0
382,72,75,78,80,82,0,0,0,0,0
383,43,55,78,0,0,0,0,0,0,0
384,72,75,82,0,0,0,0,0,0,0
385,41,53,70,73,77,82,0,0,0,0
386,53,56,70,82,0,0,0,0,0,0
387,70,73,77,82,0,0,0,0,0,0
388,44,53,73,80,85,0,0,0,0,0
389,43,52,72,76,79,84,0,0,0,0
390,43,52,70,76,79,82,0,0,0,0
391,42,51,66,72,75,78,80,0,0,0
392,54,56,60,66,72,75,78,80,0,0
393,32,75,0,0,0,0,0,0,0,0
394,66,72,75,78,80,0,0,0,0,0
395,72,75,0,0,0,0,0,0,0,0
396,32,66,72,75,0,0,0,0,0,0
397,54,56,60,66,72,76,0,0,0,0
