,filename,part,staves,mc_mean,mn_mean
128,Jelly_Roll_Blues_-_Jelly_Roll_Morton_-_transcribed_by_Eric_Kriss.mscz,part_1,"[1, 2]",27.261444557477112,27.261444557477112
129,Jinge_Bells_Vive_le_vent_Piano_solo.mscz,part_1,"[1, 2]",9.915492957746478,9.915492957746478
130,Jingle_Bells (1).mscz,part_1,"[1, 2]",37.36140135218193,37.36140135218193
131,Jingle_Bells.mscz,part_1,"[1, 2]",18.56769596199525,18.56769596199525
132,Jingle_Bells_-_alterations.mscz,part_1,"[1, 2]",16.172602739726027,16.172602739726027
133,Jingle_Bells_-_basic_harmonization.mscz,part_1,"[1, 2]",16.554744525547445,16.554744525547445
134,Jingle_Bells_-_bass_lines.mscz,part_1,"[1, 2]",16.28537170263789,16.28537170263789
135,Jingle_Bells_-_cadences.mscz,part_1,"[1, 2]",16.792626728110598,16.792626728110598
136,Jingle_Bells_-_chorale.mscz,part_1,"[1, 2]",16.580188679245282,16.580188679245282
137,Jingle_Bells_-_extensions.mscz,part_1,"[1, 2]",16.2816091954023,16.2816091954023
138,Jingle_Bells_-_ii-V.mscz,part_1,"[1, 2]",16.57857142857143,16.57857142857143
139,Jingle_Bells_-_inner_voices.mscz,part_1,"[1, 2]",16.316666666666666,16.316666666666666
140,Jingle_Bells_-_introduction.mscz,part_1,"[1, 2]",18.36209335219236,18.36209335219236
141,Jingle_bells_-_Jazz_Piano.mscz,part_1,"[1, 2]",41.5367088607595,41.5367088607595
142,Jingle_Bells_-_mix.mscz,part_1,"[1, 2]",16.396995708154506,16.396995708154506
143,Jingle_Bells_-_Other_Idioms.mscz,part_1,"[1, 2]",16.231578947368423,16.231578947368423
144,Jingle_Bells_-_parallel.mscz,part_1,"[1, 2]",16.247282608695652,16.247282608695652
145,Jingle_Bells_-_tonicization.mscz,part_1,"[1, 2]",16.48062015503876,16.48062015503876
146,Jingle_Bells_-_upper_structures.mscz,part_1,"[1, 2]",16.073417721518986,16.073417721518986
147,Jingle_Bells_Harm.mscz,part_1,"[1, 2]",16.27705627705628,16.27705627705628
148,Jingle_Bells__Block_Chords.mscz,part_1,"[1, 2]",15.69718309859155,15.69718309859155
149,Jingle_Bells__James_Pierpont (1).mscz,part_1,"[1, 2]",16.558823529411764,16.558823529411764
150,Jingle_Bells__James_Pierpont (2).mscz,part_1,"[1, 2]",16.69277108433735,16.69277108433735
151,Jingle_Bells__James_Pierpont.mscz,part_1,"[1, 2]",16.558823529411764,16.558823529411764
152,Jingle_Bells__Jazz_Piano_Holiday_Final_Arrangement.mscz,part_1,"[1, 2]",21.47878787878788,21.47878787878788
153,Jingle_Bells__Rhythmic_Devices.mscz,part_1,"[1, 2]",16.601612903225806,16.601612903225806
154,Joe_Fraiser__Jeff_Berlin_Joe_Fraiser_Bass_Solo_Transcription.mscz,part_1,[1],16.637795275590552,16.637795275590552
155,Joplin_-_The_Entertainer.mscz,part_1,"[1, 2]",44.982265446224254,43.410755148741416
156,Joplin_-_The_Entertainer_-_full_version.mscz,part_1,"[1, 2]",58.69497554468653,58.69497554468653
157,Keith_Jarrett_-_Danny_Boy__Londonderry_Air__Tokyo_Solo_2002.mscz,part_1,[1],27.558459422283356,26.558459422283356
158,Keith_Jarrett_-_Danny_Boy__Londonderry_Air__Tokyo_Solo_2002.mscz,part_2,[2],26.87443946188341,25.87443946188341
159,King_Porter_Stomp (1).mscz,part_1,"[1, 2]",33.990595611285265,33.990595611285265
160,Lassus_Trombone.mscz,part_2,"[2, 3]",25.21283783783784,25.21283783783784
161,LEMONS_AND_LIMES.mscz,part_1,"[1, 2]",40.18421052631579,40.18421052631579
162,Light_years.mscz,part_1,[1],17.740331491712706,17.740331491712706
163,Like_I_Feel.mscz,part_1,"[1, 2]",18.003318584070797,18.003318584070797
164,Little_Birdie.mscz,part_1,"[1, 2]",22.236306729264477,22.236306729264477
165,Live_Wires.mscz,part_1,"[1, 2]",35.97163120567376,35.97163120567376
166,Londonderry_Air__Misc_Traditional.mscz,part_1,[1],8.818181818181818,8.818181818181818
167,Magnetic_Rag_by_Scott_Joplin_1914.mscz,part_1,"[1, 2]",55.86194779116466,55.86194779116466
168,Makin_Whoopee.mscz,part_1,[1],12.859649122807017,11.859649122807017
169,Maple_Leaf.mscz,part_1,"[1, 2]",8.963855421686747,8.963855421686747
170,Maple_Leaf_Rag (1).mscz,part_1,[1],74.39127163280662,74.39127163280662
171,Maple_Leaf_Rag (1).mscz,part_2,[2],72.92047128129602,72.92047128129602
172,Maple_Leaf_Rag (12).mscz,part_1,"[1, 2]",29.85037878787879,28.85037878787879
173,Maple_leaf_rag (13).mscz,part_1,"[1, 2]",43.42562234365513,43.42562234365513
174,Maple_Leaf_Rag (15).mscz,part_1,"[1, 2]",24.507042253521128,24.507042253521128
175,Maple_Leaf_Rag (16).mscz,part_1,"[1, 2]",43.51487553126898,42.51487553126898
176,Maple_Leaf_Rag (17).mscz,part_1,"[1, 2]",30.09263157894737,30.09263157894737
177,Maple_Leaf_Rag (3).mscz,part_2,"[2, 3]",25.001618122977348,24.001618122977348
178,Maple_Leaf_Rag (4).mscz,part_1,[1],42.0,42.0
179,Maple_Leaf_Rag (4).mscz,part_2,"[2, 3]",41.204081632653065,41.204081632653065
180,Maple_Leaf_Rag.mscz,part_1,[1],42.0,42.0
181,Maple_Leaf_Rag.mscz,part_2,"[2, 3]",41.204081632653065,41.204081632653065
182,Maple_Leaf_Rag_-_Negative_Harmony.mscz,part_1,"[1, 2]",72.79195113187208,72.79195113187208
183,Maple_Leaf_Rag_-_Scott_Joplin (1).mscz,part_1,"[1, 2]",43.511529126213595,43.511529126213595
184,Maple_Leaf_Rag_-_Scott_Joplin.mscz,part_1,"[1, 2]",43.52976913730255,42.52976913730255
185,Maple_Leaf_Rag_-_Scott_Joplin_-_1899_edited.mscz,part_1,"[1, 2]",43.48510638297872,40.85775075987842
186,Maple_Leaf_Rag_in_A-Flat_Minor_done_right.mscz,part_1,"[1, 2]",43.51032806804374,42.51032806804374
